permille mpi reduction,Kinetic Energy,HF NN,2nd NN,3rd NN (hh),3rd NN (ph),3rd NN (pp),total_third,total_second,total_HF,mpi
0,22.10754,-28.59427,-5.37184,-0.05711,-0.37024,0.41964,-11.86627,-11.85858,-6.48673,138.04000
5,22.11929,-28.50036,-5.40749,-0.05797,-0.37350,0.42904,-11.79099,-11.78856,-6.38107,137.34980
10,22.13099,-28.40653,-5.45519,-0.05754,-0.38097,0.43686,-11.73238,-11.73073,-6.27554,136.65960
20,22.15426,-28.21725,-5.54719,-0.05428,-0.41104,0.46171,-11.61379,-11.61019,-6.06299,135.27920
30,22.17734,-28.02628,-5.65503,-0.05202,-0.44192,0.47549,-11.52241,-11.50397,-5.84894,133.89880
40,22.20023,-27.83376,-5.76777,-0.05331,-0.45846,0.51425,-11.39883,-11.40130,-5.63353,132.51840
50,22.22293,-27.64007,-5.88302,-0.05462,-0.48977,0.54336,-11.30120,-11.30017,-5.41714,131.13800
100,22.33352,-26.65176,-6.66876,-0.03856,-0.62776,0.68110,-10.97221,-10.98700,-4.31824,124.23600
150,22.43915,-25.63426,-7.73987,-0.02668,-0.82608,0.78068,-11.00706,-10.93498,-3.19511,117.33400
200,22.53967,-24.59402,-9.10754,-0.02599,-1.05266,0.79456,-11.44596,-11.16188,-2.05434,110.43200
250,22.63493,-23.53694,-10.82521,-0.02537,-1.30006,0.65844,-12.39421,-11.72722,-0.90201,103.53000
300,22.72478,-22.46838,-12.92288,-0.02386,-1.58953,0.26064,-14.01924,-12.66648,0.25640,96.62800
350,22.80909,-21.39544,-15.46735,-0.04083,-1.87925,-0.49517,-16.46894,-14.05369,1.41366,89.72600
400,22.88774,-20.32380,-18.49644,-0.06085,-2.17566,-1.75732,-19.92633,-15.93250,2.56394,82.82400
450,22.96061,-19.25904,-22.11809,-0.11147,-2.35979,-3.73968,-24.62746,-18.41653,3.70156,75.92200
