permille mpi reduction,Kinetic Energy,HF NN,2nd NN,3rd NN (hh),3rd NN (ph),3rd NN (pp),total_third,total_second,total_HF,mpi
0,22.10754,-26.06380,-8.52424,-0.04215,-1.16440,1.21527,-12.47179,-12.48050,-3.95626,138.04000
5,22.11929,-25.89973,-8.57832,-0.04447,-1.19393,1.25860,-12.33857,-12.35877,-3.78045,137.34980
10,22.13099,-25.73540,-8.63300,-0.04410,-1.20929,1.27509,-12.21570,-12.23741,-3.60441,136.65960
20,22.15426,-25.40621,-8.75702,-0.03828,-1.25573,1.35447,-11.94852,-12.00897,-3.25195,135.27920
30,22.17734,-25.07658,-8.89268,-0.03107,-1.30343,1.42128,-11.70514,-11.79192,-2.89924,133.89880
40,22.20023,-24.74656,-9.04704,-0.02182,-1.35664,1.48869,-11.48315,-11.59337,-2.54633,132.51840
50,22.22293,-24.41582,-9.20936,-0.02182,-1.41668,1.58216,-11.25859,-11.40225,-2.19289,131.13800
100,22.33352,-22.75661,-10.26140,0.01103,-1.75838,2.04139,-10.39046,-10.68450,-0.42309,124.23600
150,22.43915,-21.09333,-11.72281,0.03342,-2.17930,2.55367,-9.96920,-10.37699,1.34583,117.33400
200,22.53967,-19.43170,-13.63418,0.06342,-2.70018,3.00221,-10.16075,-10.52621,3.10797,110.43200
250,22.63493,-17.77922,-16.04994,0.11977,-3.35244,3.25569,-11.17122,-11.19423,4.85571,103.53000
300,22.72478,-16.14224,-19.04840,0.16612,-4.17663,3.20746,-13.26892,-12.46586,6.58254,96.62800
350,22.80909,-14.52835,-22.69943,0.21448,-5.12042,2.53853,-16.78610,-14.41869,8.28074,89.72600
400,22.88774,-12.94452,-27.11835,0.27177,-6.21712,1.00090,-22.11957,-17.17513,9.94322,82.82400
450,22.96061,-11.39759,-32.43957,0.33750,-7.43834,-1.84911,-29.82650,-20.87655,11.56301,75.92200
