muB,nB,energy,pressure,mue
4.312367689572244,2.466255295305236e-14,1.0635399146025017e-13,5.037493886004729e-21,0.0025909645210339585
4.312367695246248,2.5074796801861922e-14,1.0813173851526269e-13,5.178597742149338e-21,0.0025909756316240865
4.31236770098329,2.549393237649454e-14,1.0993920522845115e-13,5.3236541547792976e-21,0.002590986865659428
4.312367706784077,2.592007491565022e-14,1.1177688855156917e-13,5.4727738521140445e-21,0.0025909982245115315
4.312367712649315,2.6353341585683194e-14,1.1364529374912822e-13,5.6260706554924536e-21,0.002591009709567185
4.312367718579717,2.6793851512873373e-14,1.155449345375634e-13,5.783661571450264e-21,0.0025910213222285843
4.312367724576009,2.7241725816265492e-14,1.1747633322684857e-13,5.9456669008488756e-21,0.002591033063913505
4.312367730638923,2.769708764094124e-14,1.194400208639777e-13,6.112210310491132e-21,0.0025910449360554743
4.312367736769201,2.8160062192018562e-14,1.2143653737958293e-13,6.283418908147364e-21,0.002591056940103947
4.312367742967589,2.863077676906306e-14,1.2346643173632887e-13,6.459423406248591e-21,0.0025910690775244817
4.312367749234844,2.9109360801226833e-14,1.255302620804448e-13,6.640358132117349e-21,0.0025910813497989215
4.312367755571734,2.9595945882840757e-14,1.2762859589521116e-13,6.826361215532814e-21,0.002591093758425573
4.31236776197903,3.009066580962483e-14,1.297620101571128e-13,7.01757462624383e-21,0.0025911063049193885
4.312367768457514,3.05936566156506e-14,1.319310914952339e-13,7.214144334251831e-21,0.0025911189908121544
4.312367775007977,3.1105056610736996e-14,1.3413643635252354e-13,7.416220381426618e-21,0.0025911318176526756
4.31236778163122,3.1625006418538045e-14,1.3637865115004325e-13,7.623957021327634e-21,0.0025911447870069645
4.312367788328051,3.215364901530168e-14,1.3865835245411005e-13,7.837512831743043e-21,0.002591157900458433
4.312367795099288,3.2691129769290714e-14,1.4097616714629382e-13,8.0570508272288e-21,0.0025911711596080856
4.312367801945758,3.32375964807826e-14,1.4333273259591176e-13,8.282738602340203e-21,0.002591184566074716
