muB,nB,energy,pressure,mue
4.709422989645122,2.5048172836739438e-14,1.1720502390894091e-13,5.037493886004729e-21,0.0025909645210339585
4.709422994163635,2.5386632467202855e-14,1.1878873905907942e-13,5.1514384926805376e-21,0.0025909735073398133
4.709422998722752,2.5729666086862697e-14,1.203938567513882e-13,5.267960537468256e-21,0.002590982574399361
4.70942300332284,2.6077335522929954e-14,1.2202066628686788e-13,5.3871183258398025e-21,0.002590991722938279
4.709423007964266,2.642970343861501e-14,1.2366946087831638e-13,5.5089714762229755e-21,0.0025910009536887664
4.709423012647401,2.6786833344472653e-14,1.2534053770341404e-13,5.633580960924755e-21,0.0025910102673896004
4.709423017372619,2.714878960988668e-14,1.2703419795846283e-13,5.761009136823776e-21,0.0025910196647861987
4.709423022140301,2.7515637474702347e-14,1.2875074691281608e-13,5.891319762421705e-21,0.0025910291466306776
4.709423026950827,2.7887443060906052e-14,1.3049049396353022e-13,6.024578048997363e-21,0.0025910387136819104
4.709423031804579,2.8264273384690212e-14,1.3225375269181902e-13,6.16085066060673e-21,0.002591048366705592
4.709423036701953,2.86461963684941e-14,1.3404084091939411e-13,6.300205802750091e-21,0.002591058106474297
4.709423041643331,2.9033280853204787e-14,1.358520807655562e-13,6.442713195089834e-21,0.0025910679337675423
4.709423046629115,2.942559661072016e-14,1.3768779870597934e-13,6.588444156707335e-21,0.0025910778493718504
4.709423051659705,2.982321435645979e-14,1.3954832563125201e-13,6.737471606102947e-21,0.002591087854080812
4.709423056735497,3.0226205762106274e-14,1.4143399690649602e-13,6.889870108939855e-21,0.0025910979486951477
4.709423061856907,3.063464346864612e-14,1.433451524323871e-13,7.04571592578793e-21,0.002591108134022776
4.7094230670243356,3.104860109936789e-14,1.4528213670597634e-13,7.205087042816197e-21,0.002591118410878873
4.709423072238201,3.146815327327539e-14,1.4724529888345205e-13,7.368063212716136e-21,0.0025911287800859423
4.7094230774989185,3.1893375618474127e-14,1.4923499284277877e-13,7.534725981983891e-21,0.002591139242473878
4.709423082806913,3.232434478584688e-14,1.5125157724768627e-13,7.705158745484659e-21,0.002591149798880031
4.709423088162608,3.2761138462923346e-14,1.5329541561256961e-13,7.879446794196547e-21,0.002591160450149279
4.709423093566424,3.320383538790691e-14,1.5536687636812274e-13,8.05767733908249e-21,0.00259117119713409
4.7094230990188075,3.36525153638577e-14,1.5746633292770279e-13,8.239939558834115e-21,0.002591182040694594
4.7094231045201855,3.410725927309777e-14,1.5959416375473627e-13,8.4263246714875e-21,0.0025911929816986486
4.709423110070997,3.45681490919199e-14,1.6175075243154247e-13,8.616925937833461e-21,0.0025912040210219122
4.7094231156716955,3.50352679052729e-14,1.6393648772805035e-13,8.811838729623046e-21,0.0025912151595479114
4.709423121322722,3.5508699921809715e-14,1.6615176367221066e-13,9.01116059436276e-21,0.0025912263981681116
4.709423127024527,3.598853048913336e-14,1.6839697962133453e-13,9.214991268955672e-21,0.0025912377377819906
4.709423132777572,3.647484610914622e-14,1.7067254033391618e-13,9.423432747906905e-21,0.002591249179297108
4.709423138582317,3.696773445375267e-14,1.729788560431081e-13,9.636589344708597e-21,0.0025912607236291798
4.709423144439222,3.746728438060702e-14,1.7531634253040866e-13,9.854567719122093e-21,0.0025912723717021503
4.70942315034876,3.7973585949242114e-14,1.7768542120113104e-13,1.0077476955614273e-20,0.0025912841244482674
4.7094231563113995,3.8486730437296186e-14,1.8008651916033212e-13,1.0305428604280852e-20,0.0025912959828081556
4.709423162327628,3.900681035700072e-14,1.8252006928996098e-13,1.053853672176968e-20,0.0025913079477308926
4.709423168397918,3.953391947191919e-14,1.8498651032718445e-13,1.0776917976999273e-20,0.002591320020174085
4.709423174522752,4.0068152813853216e-14,1.8748628694349288e-13,1.1020691654569077e-20,0.002591332201103944
4.709423180702629,4.060960670006938e-14,1.9001984982530795e-13,1.1269979736606073e-20,0.0025913444914953646
4.70942318693804,4.1158378750599365e-14,1.9258765575493397e-13,1.1524906981201111e-20,0.0025913568923320016
4.709423193229488,4.1714567905966e-14,1.9519016769350024e-13,1.1785600956511647e-20,0.0025913694046063493
4.7094231995774685,4.2278274445038984e-14,1.9782785486451259e-13,1.2052192126018626e-20,0.0025913820293198215
4.709423205982496,4.284960000312884e-14,2.005011928385175e-13,1.2324813892860055e-20,0.0025913947674828302
4.709423212445078,4.3428647590381307e-14,2.0321066361917353e-13,1.2603602691908426e-20,0.002591407620114868
4.709423218965736,4.401552161033672e-14,2.0595675573009367e-13,1.2888698037514576e-20,0.0025914205882445877
4.709423225544992,4.461032787890605e-14,2.0873996430363828e-13,1.3180242601943997e-20,0.0025914336729098877
4.709423232183372,4.521317364337096e-14,2.1156079116981994e-13,1.3478382266530974e-20,0.0025914468751579924
4.7094232388814,4.58241676017912e-14,2.144197449471139e-13,1.3783266261499856e-20,0.002591460196045536
4.7094232456396234,4.6443419922754606e-14,2.1731734113487247e-13,1.4095047145503403e-20,0.0025914736366386497
4.709423252458579,4.707104226511713e-14,2.2025410220569237e-13,1.4413880952264617e-20,0.002591487198013044
4.709423259338811,4.7707147798330065e-14,2.2323055770052953e-13,1.4739927234910316e-20,0.0025915008812540962
4.709423266280868,4.8351851222801095e-14,2.262472443239723e-13,1.5073349168279376e-20,0.002591514687456938
