muB,nB,energy,pressure,mue
4.52616528692151,2.4368142743252714e-14,1.1029423675158719e-13,5.037493886004729e-21,0.0025909645210339585
4.5261652919892335,2.4727482460584837e-14,1.1192066770726704e-13,5.161894610721511e-21,0.00259097432596803
4.526165297106644,2.509212180812964e-14,1.1357108566711913e-13,5.289367515787619e-21,0.0025909842270388345
4.5261653022742285,2.546213896345347e-14,1.1524584447580374e-13,5.419988473001568e-21,0.002590994225188985
4.526165307492485,2.583761325780029e-14,1.1694530319971912e-13,5.5538352229925834e-21,0.002591004321370339
4.526165312761899,2.6218625193122662e-14,1.1866982620408648e-13,5.6909874434260976e-21,0.002591014516544085
4.526165318082983,2.6605256459368632e-14,1.2041978323119302e-13,5.83152676264485e-21,0.0025910248116808375
4.526165323456242,2.6997589952000212e-14,1.221955494796843e-13,5.975536827874392e-21,0.0025910352077607272
4.526165328882174,2.739570978983052e-14,1.2399750568529744e-13,6.12310338024913e-21,0.002591045705773495
4.526165334361327,2.7799701333052555e-14,1.2582603820246197e-13,6.274314220709581e-21,0.002591056306718586
4.526165339894186,2.82096512015886e-14,1.2768153908735427e-13,6.4292593771058465e-21,0.0025910670116052444
4.526165345481299,2.862564729371809e-14,1.2956440618220802e-13,6.5880310769154105e-21,0.002591077821452611
4.5261653511232005,2.9047778804889047e-14,1.3147504320045968e-13,6.750723815448643e-21,0.0025910887372898182
4.526165356820403,2.947613624695502e-14,1.334138598138176e-13,6.917434437695398e-21,0.0025910997601560895
4.52616536257348,2.991081146757204e-14,1.353812717400551e-13,7.08826217583804e-21,0.002591110891100838
4.526165368382968,3.035189766991621e-14,1.373777008322571e-13,7.263308703815841e-21,0.0025911221311837656
4.5261653742494055,3.079948943274048e-14,1.3940357516959985e-13,7.442678229402416e-21,0.0025911334814749656
4.526165380173375,3.1253682730643405e-14,1.4145932914908986e-13,7.626477504436532e-21,0.002591144943055022
4.5261653861554185,3.1714574954743215e-14,1.4354540357914008e-13,7.814815951002297e-21,0.002591156517015116
4.526165392196129,3.2182264933537255e-14,1.456622457739813e-13,8.007805664839428e-21,0.0025911682044571253
4.526165398296051,3.2656852954173084e-14,1.4781030964994035e-13,8.205561521061779e-21,0.002591180006493733
4.5261654044557895,3.313844078399159e-14,1.4999005582294676e-13,8.408201242362845e-21,0.0025911919242485315
4.526165410675923,3.36271316923545e-14,1.522019517073285e-13,8.615845436528776e-21,0.00259120395885613
4.526165416957053,3.412303047287388e-14,1.5444647161642588e-13,8.828617715798014e-21,0.002591216111462263
4.526165423299755,3.462624346589073e-14,1.567240968643345e-13,9.046644720733212e-21,0.0025912283832238976
4.526165429704655,3.513687858136606e-14,1.590353158695126e-13,9.270056239580863e-21,0.002591240775309346
4.526165436172354,3.565504532199972e-14,1.6138062425942207e-13,9.498985262835697e-21,0.0025912532888983752
4.526165442703465,3.6180854806825244e-14,1.637605249773225e-13,9.733568058266732e-21,0.00259126592518232
4.526165449298611,3.671441979506466e-14,1.6617552839024146e-13,9.973944259584428e-21,0.0025912786853641958
4.526165455958429,3.7255854710309764e-14,1.6862615239842373e-13,1.022025696192838e-20,0.0025912915706588135
4.526165462683554,3.780527566517059e-14,1.7111292254689407e-13,1.0472652776431725e-20,0.0025913045822928953
4.526165469474597,3.8362800486225716e-14,1.7363637213838764e-13,1.0731281956401317e-20,0.0025913177215051916
4.526165476332236,3.8928548739289044e-14,1.7619704234770935e-13,1.0996298451882122e-20,0.002591330989546598
4.526165483257109,3.9502641755175263e-14,1.7879548233835516e-13,1.126786001537575e-20,0.002591344387680276
4.526165490249887,4.008520265568893e-14,1.8143224938014165e-13,1.154612829732815e-20,0.0025913579171817714
4.526165497311228,4.0676356380174855e-14,1.841079089693785e-13,1.1831268951848137e-20,0.002591371579339137
4.526165504441804,4.127622971228455e-14,1.8682303495001736e-13,1.2123451715143723e-20,0.0025913853754530544
4.526165511642291,4.188495130733983e-14,1.8957820963750427e-13,1.2422850511240631e-20,0.00259139930683696
4.526165518913381,4.250265171982635e-14,1.9237402394322027e-13,1.2729643581572757e-20,0.0025914133748171655
4.5261655262557605,4.312946343161879e-14,1.9521107750223334e-13,1.3044013529315737e-20,0.00259142758073299
4.52616553367014,4.37655208803319e-14,1.980899788016197e-13,1.3366147520593178e-20,0.002591441925936882
4.526165541157205,4.441096048828514e-14,2.010113453115639e-13,1.369623730152803e-20,0.0025914564117945527
4.5261655487176835,4.506592069185067e-14,2.0397580361819087e-13,1.4034479385807713e-20,0.002591471039685103
4.526165556352291,4.57305419711069e-14,2.0698398955778487e-13,1.438107510924852e-20,0.0025914858110011557
4.52616556406176,4.6404966880154445e-14,2.1003654835400346e-13,1.4736230803719633e-20,0.0025915007271489886
4.526165571846817,4.708934007768583e-14,2.1313413475624182e-13,1.5100157909682215e-20,0.0025915157895486673
4.526165579708209,4.7783808358157046e-14,2.1627741318072e-13,1.547307304439489e-20,0.002591530999634182
4.526165587646677,4.8488520683252055e-14,2.194670578528977e-13,1.5855198240633013e-20,0.0025915463588535824
4.526165595662981,4.92036282140073e-14,2.2270375295287378e-13,1.6246760943278384e-20,0.0025915618686691163
4.526165603757883,4.992928434327154e-14,2.259881927623062e-13,1.6647994282141246e-20,0.002591577530557369
4.526165611932162,5.066564472865801e-14,2.2932108181355854e-13,1.705913709583223e-20,0.0025915933460094035
4.526165620186583,5.1412867326085765e-14,2.3270313504151426e-13,1.7480434150019925e-20,0.0025916093165309025
4.5261656285219365,5.2171112423675586e-14,2.3613507793699536e-13,1.791213624996998e-20,0.002591625443642312
